:ID,name,pr0:double,:LABEL
980,Gaius Julius Verus Maximinus ``Thrax,6.364266755110747E-6,Noun
981,Maximinus emperor.,6.236981420008532E-6,Noun
982,Imperial Roman,6.578585292159253E-6,Noun
983,emperor,1.0382323095252118E-4,Noun
984,people,3.0587126551568305E-4,Noun
985,accountant,5.727840079599673E-6,Noun
986,Gordian III,5.600554744497458E-6,Noun
987,Severus Alexander,8.66472065793113E-6,Noun
988,Herodian,3.1928693329938875E-5,Noun
989,Rome,1.1991278014265058E-4,Noun
990,Senate,1.6496723684689512E-4,Noun
991,Aquileia,4.964128068986383E-6,Noun
992,beginning,7.271239628478907E-5,Noun
993,Gordian II,4.709557398781953E-6,Noun
994,anachronism,7.775558904255167E-6,Noun
995,Alemanni,4.454986728577523E-6,Noun
996,emperors,1.8746753956776697E-5,Noun
997,freedmen,4.073130723270878E-6,Noun
998,one,6.38479487885399E-4,Noun
999,command,1.1563898599099433E-4,Noun
1000,rule,4.904177991433263E-5,Noun
1001,man,3.977841463140726E-4,Noun
1002,army,1.363387665679913E-4,Noun
1003,revolt,1.2699743014915475E-5,Noun
1004,burden,2.927562707350944E-6,Noun
1005,recruits,2.6729920371465137E-6,Noun
1006,Gordian I,2.5457067020442985E-6,Noun
1007,ancestors,6.508277506437584E-5,Noun
1008,commander,8.409217809079086E-5,Noun
1009,origin,4.092681879382921E-5,Noun
1010,office,2.689779460631376E-4,Noun
1011,class,2.9145508821093328E-5,Noun
1012,plot,1.909810727066322E-5,Noun
1013,military ranks,1.6547093563287941E-6,Noun
1014,governor,2.643205229867742E-4,Noun
1015,troops,2.2150552627978523E-4,Noun
1016,Latin,8.654816903871113E-5,Noun
1017,sources,9.228900138382217E-5,Noun
1018,province,3.6652562093307894E-5,Noun
1019,Roman History,7.637120106132897E-7,Noun
1020,landowners,6.64151324270996E-6,Noun
1021,son,5.714300019940615E-4,Noun
1022,Six Emperors,3.8185600530664485E-7,Noun
1023,tribe,6.7134810738980426E-6,Noun
1024,abode,1.2728533510221495E-7,Noun
1025,Stephen Gerald Breyer,1.2275758658103183E-4,Noun
1026,Ketanji Brown Jackson,0.0011338873418803015,Noun
1027,Bill Clinton,6.001619012209104E-4,Noun
1028,intention,1.5194797362931708E-4,Noun
1029,father,0.001840193604950567,Noun
1030,Lowell High School,1.1048182792292866E-4,Noun
1031,U.S. Supreme Court,1.0802667619130802E-4,Noun
1032,Federal Sentencing Guidelines,1.0557152445968736E-4,Noun
1033,textbooks,1.0360364429481862E-4,Noun
1034,Arthur Goldberg,1.0066122099644611E-4,Noun
1035,Draft Biological Opinion,9.820606926482548E-5,Noun
